#2025/12/18 16:45:13
time,wx,wy,wz,ax,ay,az,T,pitch,roll,yaw,gps_status_code
1.297,-0.00057,-0.01084,-0.00324,-0.01380,0.05667,-9.80203,30.0,-0.07644,-0.34679,359.99603,1
1.307,-0.00194,-0.02287,-0.00346,-0.01272,0.06016,-9.80029,30.0,-0.07637,-0.32538,359.99594,1
1.317,-0.04665,-0.02773,-0.00344,-0.00639,0.05563,-9.80263,30.0,-0.07413,-0.34898,359.99591,1
1.327,-0.06465,0.09943,-0.00191,-0.00419,0.06580,-9.81534,30.0,-0.06454,-0.32814,359.99585,1
1.337,-0.02657,0.04075,-0.00287,-0.00315,0.06075,-9.80839,30.0,-0.06285,-0.35209,359.99585,1
1.347,-0.03442,0.06121,-0.00189,-0.00560,0.05876,-9.79686,30.0,-0.05048,-0.33193,359.99579,1
1.357,0.05174,-0.03796,-0.00188,-0.01552,0.06387,-9.79824,30.0,-0.05471,-0.35410,359.99579,1
1.367,-0.09261,-0.01239,-0.00502,-0.01921,0.05100,-9.79872,30.0,-0.05495,-0.33089,359.99576,1
1.377,-0.10404,0.06216,-0.00678,-0.01777,0.05798,-9.80192,30.0,-0.06517,-0.35217,359.99573,1
1.387,-0.10835,0.09062,-0.00366,-0.01418,0.05768,-9.79729,30.0,-0.06757,-0.32871,359.99567,1
1.397,-0.04356,0.08039,-0.00180,-0.01877,0.06049,-9.79839,30.0,-0.08109,-0.34928,359.99564,1
1.407,-0.04122,0.11936,-0.00138,-0.02325,0.04667,-9.78695,30.0,-0.08472,-0.32624,359.99557,1
1.417,0.02628,0.09164,-0.00039,-0.01638,0.05340,-9.80041,30.0,-0.08832,-0.34847,359.99557,1
1.427,-0.05845,0.08039,-0.00335,-0.01956,0.05588,-9.79663,30.0,-0.09255,-0.32557,359.99548,1
1.437,-0.13548,0.14034,-0.00549,-0.00904,0.05992,-9.80125,30.0,-0.09088,-0.34578,359.99548,1
1.447,-0.07588,0.07775,-0.00442,-0.00792,0.05847,-9.80002,30.0,-0.08885,-0.32295,359.99542,1
1.457,-0.05297,0.03234,-0.00481,-0.00454,0.06385,-9.79667,30.0,-0.07872,-0.34368,359.99539,1
1.467,-0.26560,0.07815,-0.00315,-0.01222,0.05403,-9.80995,30.0,-0.08002,-0.32159,359.99530,1
1.477,-0.10346,0.05412,-0.00095,-0.01800,0.05022,-9.80614,30.0,-0.07010,-0.34387,359.99530,1
1.487,-0.15200,0.04427,-0.00070,-0.01144,0.05775,-9.80779,30.0,-0.07555,-0.32333,359.99524,1
1.497,-0.10411,0.01941,-0.00090,-0.00579,0.05467,-9.79667,30.0,-0.06318,-0.34444,359.99524,1
1.507,-0.04226,0.09621,-0.00202,-0.00969,0.05349,-9.80411,30.0,-0.07061,-0.32463,359.99521,1
1.517,-0.06235,0.06075,-0.00174,-0.01701,0.05592,-9.79804,30.0,-0.06410,-0.34743,359.99521,1
