#2025/09/09 15:11:30
time,wx,wy,wz,ax,ay,az,T,pitch,roll,yaw
1.047,-0.13879,-0.03445,0.05593,0.04668,0.04607,9.79471,0.0,-0.28534,0.19291,0.00577
1.057,-0.00037,0.00539,-0.01120,0.04569,0.05018,9.79450,0.0,-0.29168,0.30381,0.00564
1.067,-0.02378,0.06408,-0.00457,0.04234,0.03411,9.81223,0.0,-0.17901,0.32297,0.00478
1.077,0.06528,0.04319,0.03028,0.03513,0.03973,9.81009,0.0,-0.21105,0.21401,0.00489
1.087,0.12176,-0.05276,0.03298,0.03240,0.03304,9.80336,0.0,-0.13781,0.30257,0.00489
1.097,-0.06266,-0.10202,-0.01964,0.04025,0.03343,9.80374,0.0,-0.17263,0.19554,0.00526
1.107,-0.00332,-0.07576,0.00314,0.04623,0.03357,9.79500,0.0,-0.28748,0.19531,0.00448
1.117,-0.05714,-0.00021,0.03330,0.04553,0.04540,9.79164,0.0,-0.39482,0.23400,0.00416
1.127,-0.02320,-0.00399,0.02331,0.04230,0.04403,9.79037,0.0,-0.29537,0.28923,0.00409
1.137,0.04400,-0.00501,0.03022,0.03512,0.03764,9.80175,0.0,-0.19839,0.22977,0.00426
1.147,0.13496,-0.02693,0.08669,0.02940,0.04402,9.80608,0.0,-0.14114,0.13221,0.00464
1.157,0.16977,-0.04633,0.04368,0.02426,0.04057,9.80478,0.0,-0.14889,0.24762,0.00530
1.167,0.00850,0.06612,0.05944,0.02525,0.04809,9.80724,0.0,-0.06434,0.17349,0.00536
1.177,0.07809,-0.01112,0.05484,0.03162,0.04211,9.78744,0.0,-0.12444,0.26833,0.00563
1.187,0.21267,0.01531,0.08519,0.04291,0.04866,9.78875,0.0,-0.22577,0.21748,0.00605
1.197,0.06904,0.00186,0.09697,0.03833,0.03940,9.79817,0.0,-0.29198,0.31213,0.00641
1.207,0.03593,-0.01413,0.01534,0.03360,0.04469,9.79879,0.0,-0.22458,0.22019,0.00760
1.217,-0.05201,-0.08693,0.09202,0.04662,0.04671,9.80199,0.0,-0.15631,0.31125,0.00669
1.227,-0.05379,-0.03737,0.01346,0.05755,0.04748,9.79431,0.0,-0.26920,0.28891,0.00789
1.237,0.05372,0.01546,0.01561,0.04393,0.03894,9.79733,0.0,-0.38237,0.27953,0.00733
1.247,0.10601,-0.00835,0.01651,0.05059,0.03274,9.80144,0.0,-0.27880,0.23203,0.00752
1.257,-0.02691,0.10257,0.00595,0.04423,0.03332,9.80005,0.0,-0.34071,0.13780,0.00794
1.267,-0.00118,0.07942,0.03430,0.04775,0.04530,9.78764,0.0,-0.23950,0.19245,0.00739
