#2025/12/15 13:47:37
mcu_time,latitude,longitude,altitude,utc_year,utc_month,utc_day,utc_hour,utc_minute,utc_second,utc_millisecond,gps_status_code
576.119,25.063718,121.280720,48.26,2025,12,15,5,54,27,600,1
579.179,25.063718,121.280720,48.00,2025,12,15,5,54,33,400,1
582.239,25.063718,121.280720,48.26,2025,12,15,5,54,33,400,1
583.259,25.063718,121.280720,48.26,2025,12,15,5,54,33,400,3
586.320,25.063718,121.280720,48.25,2000,0,0,5,54,39,400,3
589.379,25.063718,121.280720,0.00,2025,12,15,5,54,43,600,1
590.399,25.063718,121.280720,48.25,2025,12,15,5,54,43,600,1
592.429,25.063718,121.280720,48.24,2025,12,15,5,54,43,600,1
593.449,25.063718,121.280720,48.24,2025,12,15,5,54,48,600,1
596.500,25.063718,121.280720,48.23,2000,12,15,5,54,50,0,1
599.560,25.063718,121.280720,48.23,2000,12,15,5,54,50,0,1
602.609,25.063718,121.280720,48.22,2025,12,15,5,54,55,800,1
605.669,25.063718,121.280719,48.19,2025,12,15,5,54,55,800,1
606.689,25.063718,121.280719,4.00,2025,12,15,5,54,55,800,1
609.749,25.063719,121.280719,48.24,2000,1,15,5,55,4,600,3
612.799,25.063720,121.280718,48.25,2025,12,15,5,55,6,800,1
615.859,25.063722,121.280717,48.27,2025,12,15,5,55,6,800,1
618.909,25.063723,121.280716,48.28,2000,1,15,5,55,12,200,1
621.959,25.063724,121.280716,48.28,2000,1,15,5,55,12,200,1
622.979,25.063724,121.280716,48.28,2000,1,15,5,55,18,200,1
625.010,25.063724,121.280715,48.28,2000,1,15,5,55,18,200,1
626.030,25.063724,121.280715,0.00,2000,1,15,5,55,18,200,1
629.101,25.063724,121.280715,48.25,2025,12,15,5,55,23,600,1
630.120,25.063724,121.280715,48.25,2025,12,15,5,55,23,600,1
633.179,25.063724,121.280715,48.24,2025,12,15,5,55,23,600,3
636.230,25.063724,121.280715,0.00,2025,12,15,5,55,28,600,3
637.259,25.063724,121.280715,1.00,2025,12,15,5,55,28,600,3
639.289,25.063724,121.280715,4.00,2025,12,15,5,55,28,600,1
640.309,25.063724,121.280715,48.23,2025,12,15,5,55,28,600,1
643.369,25.063724,121.280715,0.00,2025,12,15,5,55,38,400,1
647.450,25.063724,121.280715,48.22,2025,12,15,5,55,39,400,1
650.519,25.063724,121.280715,48.22,2025,12,15,5,55,44,400,1
651.539,25.063724,121.280715,48.21,2025,12,15,5,55,44,400,1
654.609,25.063724,0.019167,48.16,2025,12,15,5,55,48,400,3
655.632,25.063724,121.280715,48.14,2025,12,15,5,55,48,400,1
659.729,25.063724,121.280715,48.14,2025,12,15,5,55,48,400,1
