#2025/08/25 17:51:33
time,wx, wy, wz, ax, ay, az, Tx, Ty, Tz, TAcc
1.563,-0.00024,0.00506,0.00160,0.02406,-0.02461,0.96907,38.064,38.125,37.099,39.139
1.573,-0.00028,0.00533,0.00187,0.02902,-0.02566,0.96806,38.064,38.125,37.099,39.139
1.583,-0.00032,0.00577,0.00183,0.02422,-0.03030,0.97157,38.064,38.125,37.124,39.249
1.593,-0.00014,0.00617,0.00178,0.02675,-0.02738,0.96556,38.064,38.125,37.124,39.360
1.603,0.00026,0.00658,0.00196,0.02656,-0.02348,0.97024,38.064,38.125,37.124,39.470
1.613,0.00021,0.00684,0.00245,0.02734,-0.02609,0.96876,38.064,38.125,37.124,39.360
1.623,0.00035,0.00684,0.00277,0.02820,-0.02863,0.97063,38.064,38.125,37.124,39.360
1.633,0.00044,0.00665,0.00241,0.02812,-0.02504,0.96572,38.064,38.048,37.124,39.470
1.643,0.00008,0.00643,0.00196,0.03233,-0.02359,0.97052,38.064,38.048,37.124,39.360
1.653,0.00003,0.00643,0.00165,0.02519,-0.02999,0.96736,38.064,38.048,37.124,39.139
1.663,0.00003,0.00634,0.00165,0.02874,-0.02788,0.97001,38.064,38.048,37.124,39.249
1.673,0.00030,0.00634,0.00174,0.02480,-0.02671,0.97036,38.064,38.048,37.124,39.139
1.683,0.00017,0.00629,0.00165,0.02761,-0.03155,0.96740,38.064,38.048,37.124,39.360
1.693,0.00012,0.00611,0.00169,0.02730,-0.03186,0.96311,38.064,38.048,37.124,39.249
1.703,0.00021,0.00589,0.00187,0.02317,-0.02804,0.96977,38.064,38.048,37.124,39.360
1.713,0.00012,0.00562,0.00218,0.02835,-0.02613,0.96853,38.064,38.048,37.124,39.360
1.723,0.00030,0.00531,0.00236,0.02777,-0.02480,0.96763,38.064,38.048,37.124,39.360
1.733,0.00021,0.00500,0.00214,0.02691,-0.02500,0.96743,38.072,38.048,37.124,39.249
1.743,0.00012,0.00482,0.00169,0.02570,-0.02519,0.96658,38.072,38.048,37.124,39.249
1.753,-0.00019,0.00491,0.00155,0.02960,-0.02340,0.96833,38.072,38.048,37.124,39.249
1.763,-0.00019,0.00527,0.00187,0.03069,-0.02418,0.96907,38.072,38.048,37.124,39.139
1.773,-0.00001,0.00571,0.00223,0.02746,-0.02668,0.96513,38.072,38.048,37.124,39.249
1.783,0.00008,0.00607,0.00240,0.02827,-0.02714,0.96895,38.072,38.048,37.106,39.360
1.793,0.00021,0.00620,0.00231,0.02449,-0.02913,0.96989,38.072,38.048,37.106,39.360
1.803,0.00030,0.00602,0.00231,0.02800,-0.02687,0.96697,38.072,38.048,37.106,39.139
1.813,0.00097,0.00580,0.00245,0.03007,-0.02894,0.96771,38.072,38.048,37.106,39.139
1.823,0.00119,0.00562,0.00245,0.03128,-0.02465,0.96517,38.072,38.048,37.106,39.139
1.833,0.00114,0.00554,0.00236,0.02917,-0.02851,0.97024,38.072,38.153,37.106,39.360
1.843,0.00119,0.00563,0.00227,0.02574,-0.03303,0.96899,38.072,38.153,37.106,39.139
1.853,0.00065,0.00585,0.00227,0.02582,-0.02777,0.96817,38.072,38.153,37.106,39.139
1.863,0.00048,0.00608,0.00249,0.02894,-0.02578,0.96997,38.072,38.153,37.106,39.249
1.873,0.00057,0.00608,0.00272,0.02531,-0.02332,0.96623,38.072,38.153,37.106,39.360
1.883,0.00079,0.00590,0.00249,0.02847,-0.02547,0.96408,38.072,38.153,37.106,39.360
1.893,0.00065,0.00567,0.00200,0.03058,-0.02578,0.96942,38.072,38.153,37.106,39.249
1.903,0.00070,0.00554,0.00160,0.02964,-0.02613,0.96712,38.072,38.153,37.106,39.470
1.913,0.00043,0.00536,0.00151,0.02500,-0.02149,0.97075,38.072,38.153,37.106,39.249
1.923,0.00039,0.00554,0.00164,0.02769,-0.02359,0.96876,38.072,38.153,37.106,39.249
1.933,0.00043,0.00594,0.00165,0.02863,-0.02980,0.97048,38.069,38.153,37.106,39.360
1.943,0.00025,0.00621,0.00160,0.02679,-0.02820,0.96482,38.069,38.153,37.106,39.360
1.953,0.00034,0.00643,0.00169,0.02145,-0.02769,0.96669,38.069,38.153,37.106,39.249
1.963,0.00043,0.00661,0.00191,0.02726,-0.02987,0.96576,38.069,38.153,37.106,39.249
1.973,0.00052,0.00657,0.00205,0.02796,-0.02671,0.96654,38.069,38.153,37.106,39.360
1.983,0.00083,0.00634,0.00200,0.02699,-0.02812,0.97016,38.069,38.153,37.112,39.249
1.993,0.00092,0.00608,0.00182,0.03089,-0.02578,0.96634,38.069,38.153,37.112,39.249
2.003,0.00092,0.00590,0.00173,0.02941,-0.02874,0.97075,38.069,38.153,37.112,39.139
