#2025/09/05 10:51:25
time,wx,wy,wz,ax,ay,az,Tx,Ty,Tz,TAcc,pitch,roll,yaw
0.673,-0.02294,-0.05006,1.00099,9.75909,0.13564,-0.10068,42.872,42.263,41.346,49.526,0.58093,-49.15735,-9.00910
0.683,-0.02285,-0.05001,1.00408,9.75792,0.11329,-0.12630,42.872,42.263,41.344,49.636,0.57418,-49.60921,-9.00271
0.693,-0.02285,-0.04992,1.00470,9.78677,0.12398,-0.12744,42.872,42.263,41.344,49.747,0.56811,-50.05620,-8.99637
0.703,-0.02281,-0.04983,1.00363,9.78218,0.07910,-0.10350,42.872,42.263,41.344,49.636,0.55922,-50.49684,-8.99010
0.713,-0.02294,-0.05001,1.00211,9.82700,0.10920,-0.09582,42.872,42.263,41.344,49.636,0.55227,-50.93217,-8.98390
0.723,-0.02321,-0.05037,0.99961,9.81998,0.13883,-0.16396,42.872,42.263,41.344,49.415,0.54724,-51.36710,-8.97778
0.733,-0.02339,-0.05050,0.99777,9.81501,0.13987,-0.18047,42.872,42.325,41.344,49.636,0.54231,-51.79835,-8.97174
0.743,-0.02326,-0.05077,0.99813,9.80902,0.15744,-0.18300,42.872,42.325,41.344,49.747,0.53850,-52.22509,-8.96575
0.753,-0.02308,-0.05113,0.99893,9.78418,0.12576,-0.15842,42.872,42.325,41.344,49.526,0.53269,-52.64566,-8.95981
0.763,-0.02285,-0.05135,0.99853,9.76694,0.14363,-0.15135,42.872,42.325,41.344,49.526,0.52807,-53.06124,-8.95393
0.773,-0.02254,-0.05144,0.99603,9.74358,0.08244,-0.11977,42.872,42.325,41.344,49.415,0.51959,-53.47033,-8.94813
0.783,-0.02236,-0.05153,0.99375,9.76223,0.13603,-0.11153,42.872,42.325,41.344,49.747,0.51458,-53.87444,-8.94239
0.793,-0.02223,-0.05179,0.99075,9.74835,0.07098,-0.11969,42.872,42.325,41.344,49.636,0.50548,-54.27470,-8.93673
0.803,-0.02241,-0.05197,0.98717,9.77087,0.13412,-0.13962,42.872,42.325,41.344,49.636,0.50047,-54.67186,-8.93115
0.813,-0.02263,-0.05206,0.98592,9.77877,0.11049,-0.11534,42.872,42.325,41.344,49.636,0.49398,-55.06316,-8.92563
0.823,-0.02290,-0.05215,0.98820,9.79672,0.07375,-0.14763,42.872,42.325,41.344,49.636,0.48515,-55.45224,-8.92016
0.833,-0.02308,-0.05224,0.99080,9.75280,0.11824,-0.11791,42.872,42.325,41.344,49.636,0.47923,-55.83525,-8.91473
0.843,-0.02294,-0.05220,0.99178,9.77398,0.14965,-0.09587,42.872,42.325,41.344,49.747,0.47530,-56.21270,-8.90935
0.853,-0.02263,-0.05197,0.99111,9.74804,0.09517,-0.11459,42.872,42.325,41.344,49.636,0.46794,-56.58725,-8.90403
0.863,-0.02232,-0.05175,0.98896,9.77143,0.11581,-0.22195,42.872,42.325,41.344,49.636,0.46194,-56.96453,-8.89877
0.873,-0.02236,-0.05153,0.98722,9.81576,0.11868,-0.20609,42.872,42.325,41.344,49.747,0.45614,-57.33664,-8.89357
0.883,-0.02241,-0.05139,0.98793,9.80799,0.12341,-0.02602,42.872,42.325,41.366,49.747,0.45066,-57.69342,-8.88843
0.893,-0.02250,-0.05126,0.99008,9.79586,0.11967,-0.06988,42.872,42.325,41.366,49.636,0.44497,-58.04904,-8.88333
0.903,-0.02281,-0.05130,0.99245,9.80106,0.11541,-0.09999,42.872,42.325,41.366,49.526,0.43901,-58.40269,-8.87827
0.913,-0.02317,-0.05148,0.99249,9.76970,0.09160,-0.10965,42.872,42.325,41.366,49.636,0.43160,-58.75314,-8.87327
0.923,-0.02326,-0.05139,0.99205,9.83568,0.12390,-0.08903,42.872,42.325,41.366,49.747,0.42624,-59.09845,-8.86832
0.933,-0.02312,-0.05122,0.99097,9.82810,0.14082,-0.17077,42.872,42.319,41.366,49.636,0.42199,-59.44515,-8.86343
0.943,-0.02294,-0.05113,0.99039,9.74803,0.15890,-0.10769,42.872,42.319,41.366,49.747,0.41899,-59.78417,-8.85859
0.953,-0.02272,-0.05126,0.99062,9.77164,0.13451,-0.14043,42.872,42.319,41.366,49.636,0.41442,-60.12157,-8.85380
0.963,-0.02272,-0.05130,0.99084,9.79837,0.09498,-0.23217,42.872,42.319,41.366,49.415,0.40734,-60.46109,-8.84906
0.973,-0.02276,-0.05113,0.99035,9.77505,0.09703,-0.11167,42.872,42.319,41.366,49.747,0.40046,-60.78931,-8.84438
0.983,-0.02285,-0.05077,0.98950,9.73356,0.10998,-0.11272,42.872,42.319,41.366,49.747,0.39448,-61.11407,-8.83975
0.993,-0.02308,-0.05059,0.98919,9.80670,0.11262,-0.14900,42.872,42.319,41.366,49.747,0.38866,-61.43755,-8.83517
1.003,-0.02330,-0.05050,0.98927,9.80591,0.14221,-0.13549,42.872,42.319,41.366,49.305,0.38476,-61.75665,-8.83065
1.013,-0.02348,-0.05019,0.98784,9.76840,0.09291,-0.17399,42.872,42.319,41.366,49.747,0.37778,-62.07476,-8.82618
1.023,-0.02361,-0.04983,0.98713,9.76770,0.14167,-0.05042,42.872,42.319,41.366,49.636,0.37396,-62.38159,-8.82176
1.033,-0.02339,-0.04948,0.98775,9.78447,0.10120,-0.15990,42.869,42.319,41.366,49.636,0.36757,-62.69201,-8.81739
1.043,-0.02303,-0.04925,0.98968,9.79430,0.12430,-0.17244,42.869,42.319,41.366,49.636,0.36266,-62.99983,-8.81306
1.053,-0.02285,-0.04912,0.99071,9.74917,0.13552,-0.22094,42.869,42.319,41.366,49.636,0.35853,-63.30745,-8.80876
1.063,-0.02276,-0.04890,0.99115,9.80535,0.14006,-0.08844,42.869,42.319,41.366,49.415,0.35466,-63.60328,-8.80451
1.073,-0.02272,-0.04867,0.99021,9.74410,0.13184,0.07819,42.869,42.319,41.366,49.747,0.35035,-63.88521,-8.80031
1.083,-0.02281,-0.04850,0.98726,9.78016,0.10873,-0.07270,42.869,42.319,41.349,49.747,0.34459,-64.17378,-8.79617
1.093,-0.02290,-0.04841,0.98579,9.77933,0.11987,-0.18293,42.869,42.319,41.349,49.636,0.33960,-64.46619,-8.79209
1.103,-0.02285,-0.04845,0.98757,9.85761,0.10689,-0.20303,42.869,42.319,41.349,49.636,0.33374,-64.75661,-8.78804
1.113,-0.02281,-0.04881,0.99057,9.76815,0.09691,-0.12376,42.869,42.319,41.349,49.747,0.32733,-65.03896,-8.78402
1.123,-0.02259,-0.04912,0.99223,9.79010,0.16322,-0.10913,42.869,42.319,41.349,49.415,0.32515,-65.31730,-8.78004
1.133,-0.02245,-0.04930,0.99084,9.77847,0.14000,-0.12716,42.869,42.323,41.349,49.636,0.32152,-65.59377,-8.77610
1.143,-0.02245,-0.04943,0.98986,9.76338,0.11140,-0.13391,42.869,42.323,41.349,49.747,0.31612,-65.86769,-8.77221
1.153,-0.02232,-0.04974,0.98923,9.71100,0.12619,-0.12255,42.869,42.323,41.349,49.526,0.31175,-66.13795,-8.76838
1.163,-0.02241,-0.04992,0.98950,9.87603,0.13526,-0.16128,42.869,42.323,41.349,49.747,0.30784,-66.40759,-8.76458
1.173,-0.02263,-0.04979,0.99021,9.83973,0.12266,-0.13042,42.869,42.323,41.349,49.636,0.30318,-66.67239,-8.76082
1.183,-0.02294,-0.04970,0.99048,9.78768,0.10745,-0.02080,42.869,42.323,41.349,49.526,0.29763,-66.92751,-8.75711
1.193,-0.02303,-0.04979,0.98977,9.78440,0.12133,-0.10612,42.869,42.323,41.349,49.747,0.29302,-67.18517,-8.75344
1.203,-0.02303,-0.04979,0.98798,9.81373,0.12671,-0.20694,42.869,42.323,41.349,49.747,0.28877,-67.44640,-8.74982
1.213,-0.02285,-0.04974,0.98731,9.76718,0.14564,-0.12241,42.869,42.323,41.349,49.747,0.28580,-67.69947,-8.74625
1.223,-0.02250,-0.04979,0.98713,9.79441,0.13517,-0.13631,42.869,42.323,41.349,49.636,0.28216,-67.95066,-8.74271
1.233,-0.02250,-0.05010,0.98641,9.83193,0.10019,-0.04992,42.866,42.323,41.349,49.415,0.27630,-68.19367,-8.73921
1.243,-0.02241,-0.05010,0.98771,9.78085,0.16082,-0.10796,42.866,42.323,41.349,49.636,0.27437,-68.43772,-8.73575
1.253,-0.02245,-0.05023,0.99066,9.71147,0.12841,-0.14749,42.866,42.323,41.349,49.636,0.27042,-68.68169,-8.73232
1.263,-0.02245,-0.05028,0.99402,9.75308,0.18290,-0.18217,42.866,42.323,41.349,49.747,0.26990,-68.92518,-8.72892
1.273,-0.02245,-0.05050,0.99478,9.79203,0.11207,-0.14906,42.866,42.323,41.349,49.415,0.26483,-69.16389,-8.72555
1.283,-0.02259,-0.05081,0.99357,9.79459,0.12932,-0.16442,42.866,42.323,41.338,49.526,0.26090,-69.40097,-8.72222
1.293,-0.02245,-0.05130,0.99232,9.77474,0.14168,-0.07089,42.866,42.323,41.338,49.636,0.25781,-69.62959,-8.71894
1.303,-0.02227,-0.05175,0.99182,9.77039,0.14255,-0.14128,42.866,42.323,41.338,49.636,0.25481,-69.86018,-8.71570
