#2026/01/28 10:18:08
time,wx,wy,wz,ax,ay,az,Tx,Ty,Tz,Tacc,pitch,roll,yaw
0.647,0.40500,-0.05000,12.43500,0.33477,0.57041,-9.61741,26.634,26.634,26.634,277.141,0.04106,-0.07276,0.10272
0.657,0.26500,0.19500,16.42500,0.15782,0.37433,-9.64132,26.634,26.634,26.634,277.141,0.03528,-0.09263,0.15489
0.667,0.23000,0.16000,17.96500,-0.00478,0.00608,-9.65088,26.639,26.639,26.639,277.141,0.04405,-0.09905,0.23818
0.677,0.30000,0.33500,16.07500,-0.23434,-0.41955,-9.65088,26.639,26.639,26.639,277.141,0.02662,-0.08040,0.35296
0.687,0.12500,0.23000,12.19000,-0.16738,-0.33825,-9.61741,26.639,26.639,26.639,277.117,0.01650,-0.05959,0.49087
0.697,0.23000,0.37000,9.74000,-0.02391,-0.11348,-9.64132,26.639,26.639,26.639,277.117,-0.00248,-0.00186,0.63774
0.707,0.16000,1.63000,9.63500,0.03348,0.10173,-9.92826,26.639,26.639,26.639,277.141,-0.00615,0.01877,0.78054
0.717,0.23000,4.67500,11.31500,0.18173,0.19260,-10.12912,26.639,26.639,26.639,277.141,-0.01420,0.03362,0.91183
0.727,0.12500,11.32500,14.53500,0.20086,0.14477,-10.53085,26.639,26.639,26.639,277.156,0.00502,0.01453,1.03222
0.737,0.19500,19.23500,16.42500,0.24868,0.05391,-10.76997,26.639,26.639,26.639,277.141,0.02431,0.01874,1.14986
0.747,-0.12000,28.58000,16.84500,0.09087,0.01565,-10.94213,26.639,26.639,26.639,277.141,0.07626,0.00519,1.27459
0.757,-0.40001,41.81001,15.02500,-0.01913,-0.20912,-10.90865,26.639,26.639,26.639,277.141,0.16253,0.00850,1.41125
0.767,-0.47001,51.92501,13.06500,0.29173,-0.31912,-10.97083,26.639,26.639,26.639,277.141,0.32713,-0.00252,1.55769
0.777,-0.61001,64.31501,11.31500,0.38737,-0.25217,-10.86083,26.639,26.639,26.639,277.133,0.56348,0.00118,1.70699
0.787,-0.68001,73.87001,9.60000,0.79866,-0.13739,-10.83214,26.639,26.639,26.639,277.133,0.93125,-0.00106,1.85058
0.797,-0.89001,85.80502,9.56500,1.04256,0.05391,-10.79866,26.639,26.639,26.639,277.133,1.43543,-0.00341,1.98205
0.807,-1.10001,95.01002,11.07000,1.03300,0.16390,-10.60258,26.639,26.639,26.639,277.133,2.07547,-0.00618,2.10085
