#2026/01/22 11:08:21
time,wx,wy,wz,ax,ay,az,Tx,Ty,Tz,Tacc,pitch,roll,yaw
0.658,0.07500,0.07000,-0.02000,-0.05412,0.01260,-9.84784,40.795,40.795,40.795,35.020,-0.00634,0.02125,-0.03135
0.668,0.04000,0.00000,-0.05500,-0.04924,-0.00204,-9.84784,40.795,40.795,40.795,35.020,0.00026,-0.00056,-0.03154
0.678,0.00500,0.00000,-0.09000,-0.06876,0.02724,-9.85760,40.795,40.795,40.795,35.023,-0.00628,0.02037,-0.03160
0.688,0.00500,0.10500,-0.09000,-0.05900,0.01748,-9.85272,40.795,40.795,40.795,35.023,0.00032,-0.00093,-0.03160
0.698,-0.03000,0.10500,-0.05500,-0.06876,0.00284,-9.84784,40.795,40.795,40.795,35.051,-0.00606,0.02027,-0.03160
0.708,-0.24000,0.03500,-0.09000,-0.06388,0.00772,-9.86248,40.795,40.795,40.795,35.051,0.00059,-0.00109,-0.03160
0.718,0.00500,0.03500,-0.05500,-0.06876,-0.00204,-9.84784,40.795,40.795,40.795,35.004,-0.00594,0.01970,-0.03160
0.728,-0.03000,0.07000,0.01500,-0.06876,0.00772,-9.85272,40.795,40.795,40.795,35.004,0.00089,-0.00211,-0.03160
0.738,0.04000,-0.03500,-0.02000,-0.04924,0.01260,-9.86248,40.795,40.795,40.795,35.016,-0.00556,0.01840,-0.03160
0.748,-0.06500,0.14000,-0.05500,-0.05412,0.02724,-9.85760,40.795,40.795,40.795,35.023,0.00122,-0.00345,-0.03160
0.758,-0.06500,0.03500,-0.02000,-0.04924,0.01260,-9.85760,40.795,40.795,40.795,35.023,-0.00524,0.01713,-0.03160
0.768,-0.17000,0.03500,-0.09000,-0.04924,0.00284,-9.85272,40.796,40.796,40.796,35.043,0.00163,-0.00457,-0.03160
0.778,-0.06500,-0.00000,-0.05500,-0.04436,0.02724,-9.85760,40.796,40.796,40.796,35.043,-0.00494,0.01594,-0.03160
0.788,0.14500,-0.03500,0.05000,-0.04436,0.02236,-9.85272,40.796,40.796,40.796,35.020,0.00195,-0.00587,-0.03160
0.798,0.07500,0.07000,-0.23000,-0.05412,0.02236,-9.84784,40.796,40.796,40.796,35.020,-0.00460,0.01479,-0.03172
0.808,-0.03000,0.10500,-0.09000,-0.05412,0.01748,-9.84784,40.796,40.796,40.796,35.043,0.00224,-0.00664,-0.03206
0.818,-0.10000,0.07000,-0.05500,-0.05412,0.01748,-9.85760,40.796,40.796,40.796,35.043,-0.00440,0.01433,-0.03252
0.828,-0.06500,0.14000,0.05000,-0.05412,0.01260,-9.84296,40.796,40.796,40.796,35.047,0.00251,-0.00694,-0.03298
0.838,0.00500,0.10500,-0.05500,-0.05900,0.01748,-9.84296,40.796,40.796,40.796,35.047,-0.00409,0.01402,-0.03344
0.848,0.07500,-0.03500,-0.19500,-0.06388,0.00284,-9.84784,40.796,40.796,40.796,35.047,0.00283,-0.00757,-0.03388
0.858,0.00500,0.03500,-0.09000,-0.06388,0.00772,-9.84296,40.796,40.796,40.796,35.039,-0.00391,0.01315,-0.03429
0.868,-0.03000,-0.10500,-0.02000,-0.06388,0.01260,-9.84296,40.796,40.796,40.796,35.039,0.00291,-0.00836,-0.03468
0.878,0.00500,0.07000,-0.16000,-0.05412,0.00284,-9.84784,40.796,40.796,40.796,35.035,-0.00398,0.01269,-0.03515
0.888,0.04000,0.07000,-0.09000,-0.04436,0.01260,-9.86248,40.796,40.796,40.796,35.035,0.00280,-0.00844,-0.03578
0.898,0.07500,0.03500,0.01500,-0.05900,0.00284,-9.86248,40.796,40.796,40.796,35.031,-0.00406,0.01285,-0.03639
0.908,0.18000,0.14000,-0.09000,-0.06388,0.02236,-9.85272,40.796,40.796,40.796,35.031,0.00284,-0.00811,-0.03681
0.918,-0.03000,0.03500,-0.09000,-0.04924,0.02236,-9.85272,40.796,40.796,40.796,35.031,-0.00398,0.01338,-0.03713
0.928,-0.13500,0.03500,-0.16000,-0.03948,0.01748,-9.85272,40.796,40.796,40.796,35.023,0.00285,-0.00753,-0.03745
0.938,0.07500,0.14000,0.01500,-0.04436,0.01748,-9.84784,40.796,40.796,40.796,35.023,-0.00406,0.01372,-0.03777
0.948,-0.10000,0.07000,-0.12500,-0.03948,0.00772,-9.84784,40.796,40.796,40.796,35.016,0.00285,-0.00743,-0.03815
0.958,-0.10000,-0.03500,-0.05500,-0.05900,0.01748,-9.87224,40.796,40.796,40.796,35.016,-0.00406,0.01331,-0.03866
0.968,-0.13500,0.10500,-0.19500,-0.05900,0.02724,-9.85760,40.798,40.798,40.798,35.031,0.00294,-0.00847,-0.03933
0.978,0.00500,-0.21000,-0.23000,-0.06876,0.02724,-9.84784,40.798,40.798,40.798,35.031,-0.00380,0.01184,-0.04022
0.988,-0.03000,0.03500,-0.02000,-0.06876,0.01260,-9.86248,40.798,40.798,40.798,35.023,0.00318,-0.00994,-0.04129
0.998,-0.06500,0.07000,-0.09000,-0.06876,0.00284,-9.85272,40.798,40.798,40.798,35.023,-0.00362,0.01055,-0.04233
1.008,0.04000,0.00000,-0.02000,-0.06388,0.00284,-9.83320,40.798,40.798,40.798,35.023,0.00353,-0.01106,-0.04324
1.018,0.04000,0.00000,-0.09000,-0.06876,-0.00692,-9.85272,40.798,40.798,40.798,35.043,-0.00328,0.00974,-0.04399
1.028,-0.17000,0.07000,-0.19500,-0.06388,-0.00204,-9.85760,40.798,40.798,40.798,35.043,0.00378,-0.01151,-0.04453
1.038,-0.03000,-0.00000,-0.09000,-0.05900,0.01748,-9.83808,40.798,40.798,40.798,35.012,-0.00296,0.00931,-0.04494
1.048,0.04000,0.00000,-0.19500,-0.04924,0.01748,-9.86248,40.798,40.798,40.798,35.012,0.00405,-0.01214,-0.04543
1.058,0.04000,0.00000,0.01500,-0.04436,0.00284,-9.84784,40.798,40.798,40.798,35.023,-0.00284,0.00879,-0.04611
1.068,0.00500,0.10500,-0.02000,-0.05412,0.02236,-9.85760,40.798,40.798,40.798,35.023,0.00418,-0.01246,-0.04689
1.078,0.11000,-0.17500,-0.09000,-0.04924,0.01748,-9.84296,40.798,40.798,40.798,35.008,-0.00276,0.00860,-0.04757
1.088,0.00500,0.00000,-0.02000,-0.04436,0.01260,-9.84784,40.798,40.798,40.798,35.008,0.00404,-0.01233,-0.04806
1.098,-0.03000,-0.00000,-0.09000,-0.05412,0.01260,-9.86248,40.798,40.798,40.798,35.043,-0.00302,0.00914,-0.04836
1.108,0.04000,0.07000,-0.05500,-0.06388,0.01260,-9.85272,40.798,40.798,40.798,35.070,0.00384,-0.01166,-0.04845
1.118,-0.13500,0.07000,-0.05500,-0.05412,0.01260,-9.85760,40.798,40.798,40.798,35.070,-0.00315,0.00961,-0.04845
1.128,0.00500,0.00000,-0.09000,-0.05412,0.01260,-9.84296,40.798,40.798,40.798,35.039,0.00382,-0.01156,-0.04845
